Word,Meaning,Type,Audio,Sentence,,,,
churlish,having a bad disposition; surly,adjective,https://lex-audio.useremarkable.com/mp3/churlish_us_1.mp3,it seems churlish to complain,0,rude,ill-mannered,discourteous
imbibe,take in liquids,transitive verb,https://lex-audio.useremarkable.com/mp3/imbibe_us_1.mp3,they were imbibing far too many pitchers of beer,0,drink,consume,sup
base,lowest support of a structure,transitive verb,https://lex-audio.useremarkable.com/mp3/base_us_1.mp3,the film is based on a novel by Pat Conroy,0,found,build,construct
perfunctory,hasty and without attention to detail; not thorough,adjective,https://lex-audio.useremarkable.com/mp3/perfunctory_us_1.mp3,he gave a perfunctory nod,0,desultory,rapid,uninterested
penurious,excessively unwilling to spend,adjective,https://lex-audio.useremarkable.com/mp3/penurious_us_1.mp3,a penurious old tramp,0,poor,as poor as a church mouse,poverty-stricken
exegesis,an explanation or critical interpretation,noun,https://lex-audio.useremarkable.com/mp3/exegesis_us_1.mp3,the task of biblical exegesis,0,interpretation,explanation,exposition
precipitate,bring about abruptly,transitive verb,https://lex-audio.useremarkable.com/mp3/precipitate_us_3.mp3,the incident precipitated a political crisis,0,bring about,bring on,cause
indigent,poor enough to need help from others,noun,https://lex-audio.useremarkable.com/mp3/indigent_us_1.mp3,"Automatons, illiterates and indigents of every shape and size, don't stop but aid this cruel crusade participate in their own demise.",0,poor person,pauper,indigent
feckless,generally incompetent and ineffectual,adjective,https://lex-audio.useremarkable.com/mp3/feckless_us_1.mp3,a feckless mama's boy,0,useless,worthless,incompetent
defray,bear the expenses of,transitive verb,https://lex-audio.useremarkable.com/mp3/defray_us_1.mp3,the proceeds from the raffle help to defray the expenses of the evening,0,pay,pay for,cover
sedulous,marked by care and persistent effort,adjective,https://lex-audio.useremarkable.com/mp3/sedulous_us_1.mp3,he watched himself with the most sedulous care,0,diligent,careful,meticulous
ponderous,having great mass and weight and unwieldiness,adjective,https://lex-audio.useremarkable.com/mp3/ponderous_us_1.mp3,her footsteps were heavy and ponderous,0,clumsy,slow,heavy
Zeitgeist,the spirit of the time,noun,https://lex-audio.useremarkable.com/mp3/zeitgeist_us_2_rr.mp3,the story captured the zeitgeist of the late 1960s,0,spirit,feel,tone
untoward,not in keeping with accepted standards of what is proper,adjective,https://lex-audio.useremarkable.com/mp3/untoward_us_1_rr.mp3,both tried to behave as if nothing untoward had happened,0,unexpected,unanticipated,unforeseen
equivocate,be deliberately ambiguous or unclear,intransitive verb,https://lex-audio.useremarkable.com/mp3/equivocate_us_1.mp3,"Not that we are aware of,she equivocated",0,prevaricate,be evasive,be non-committal
nadir,the lowest point of anything,noun,https://lex-audio.useremarkable.com/mp3/nadir_us_1_rr.mp3,they had reached the nadir of their sufferings,0,the lowest point,the all-time low,the lowest level
anathema,a formal ecclesiastical curse accompanied by excommunication,noun,https://lex-audio.useremarkable.com/mp3/anathema_us_1.mp3,racial hatred was anathema to her,0,abhorrent,hateful,odious
alacrity,liveliness and eagerness,noun,https://lex-audio.useremarkable.com/mp3/alacrity_us_1.mp3,she accepted the invitation with alacrity,0,eagerness,willingness,readiness
bed,a piece of furniture that provides a place to sleep,verb,https://lex-audio.useremarkable.com/mp3/bed_us_2.mp3,he usually bedded down on newspapers in the church porch,0,go to bed,retire,call it a day
saturnine,bitter or scornful,adjective,https://lex-audio.useremarkable.com/mp3/saturnine_us_1.mp3,a saturnine temperament,0,gloomy,sombre,melancholy
truculent,defiantly aggressive,adjective,https://lex-audio.useremarkable.com/mp3/truculent_us_1.mp3,his days of truculent defiance were over,0,defiant,aggressive,antagonistic
expansive,able or tending to extend in one or more directions,adjective,https://lex-audio.useremarkable.com/mp3/expansive_us_1.mp3,"deep, expansive canyons",0,extensive,sweeping,rolling
turpitude,a corrupt or depraved or degenerate act or practice,noun,https://lex-audio.useremarkable.com/mp3/turpitude_us_1.mp3,acts of moral turpitude,0,wickedness,immorality,depravity
vicissitude,a variation in circumstances or fortune,noun,https://lex-audio.useremarkable.com/mp3/vicissitude_us_1.mp3,her husband's sharp vicissitudes of fortune,0,change,alteration,alternation
factious,dissenting with the majority opinion,adjective,https://lex-audio.useremarkable.com/mp3/factious_us_1.mp3,a factious country,0,divided,split,sectarian
hector,talk to or treat someone in a bossy or bullying way,transitive verb,https://lex-audio.useremarkable.com/mp3/hector_us_1.mp3,she doesn't hector us about giving up things,0,bully,intimidate,browbeat
arrant,complete and without qualification,adjective,https://lex-audio.useremarkable.com/mp3/arrant_us_1.mp3,what arrant nonsense!,0,utter,downright,thoroughgoing
insufferable,extremely unpleasant or annoying,adjective,https://lex-audio.useremarkable.com/mp3/insufferable_us_1.mp3,the heat would be insufferable by July,0,intolerable,unbearable,unendurable
malfeasance,wrongful conduct by a public official,noun,https://lex-audio.useremarkable.com/mp3/malfeasance_us_1.mp3,This would occur whenever the public is made aware of official malfeasance or incompetence.,0,deceit,deception,duplicity
overweening,presumptuously arrogant,adjective,https://lex-audio.useremarkable.com/mp3/overweening_us_1.mp3,overweening ambition,0,overconfident,conceited,cocksure
kowtow,bend the knees and bow in a servile manner,intransitive verb,https://lex-audio.useremarkable.com/mp3/kowtow_us_1.mp3,she didn't have to kowtow to a boss,0,grovel,behave obsequiously,be obsequious
conciliate,gain the good will of or cause to be more favorably inclined,transitive verb,https://lex-audio.useremarkable.com/mp3/xconciliate_us_1.mp3,concessions were made to conciliate the peasantry,0,appease,placate,pacify
choleric,characterized by anger,adjective,https://lex-audio.useremarkable.com/mp3/choleric_us_1_rr.mp3,"he was a choleric, self-important little man",0,bad-tempered,irascible,irritable
lascivious,driven by lust,adjective,https://lex-audio.useremarkable.com/mp3/lascivious_us_1.mp3,he gave her a lascivious wink,0,lecherous,lewd,lustful
supercilious,having or showing arrogant disdain or haughtiness,adjective,https://lex-audio.useremarkable.com/mp3/supercilious_us_1.mp3,a supercilious lady's maid,0,arrogant,haughty,conceited
chary,characterized by great caution,adjective,https://lex-audio.useremarkable.com/mp3/chary_us_1.mp3,most people are chary of allowing themselves to be photographed,0,wary,cautious,circumspect
expunge,remove by erasing or crossing out or as if by drawing a line,transitive verb,https://lex-audio.useremarkable.com/mp3/expunge_us_1.mp3,I've kind of expunged that period from my CV,0,erase,remove,delete
apostate,not faithful to religion or party or cause,noun,https://lex-audio.useremarkable.com/mp3/apostate_us_1_rr.mp3,after fifty years as an apostate he returned to the faith,0,dissenter,heretic,nonconformist
prosaic,lacking wit or imagination,adjective,https://lex-audio.useremarkable.com/mp3/prosaic_us_2.mp3,prosaic language can't convey the experience,0,unimaginative,uninspired,matter-of-fact
contentious,showing an inclination to disagree,adjective,https://lex-audio.useremarkable.com/mp3/xcontentious_us_1.mp3,a contentious issue,0,controversial,disputable,debatable
pariah,a person who is rejected from society or home,noun,https://lex-audio.useremarkable.com/mp3/pariah_us_1.mp3,they were treated as social pariahs,0,outcast,rejected,leper
diatribe,thunderous verbal attack,noun,https://lex-audio.useremarkable.com/mp3/diatribe_us_1.mp3,a diatribe against the Roman Catholic Church,0,tirade,harangue,verbal onslaught
