Word,Meaning,Type,Audio,Sentence,,,,
altruism,the quality of unselfish concern for the welfare of others,noun,https://lex-audio.useremarkable.com/mp3/altruism_us_1.mp3,some may choose to work with vulnerable elderly people out of altruism,0,unselfishness,selflessness,self-sacrifice
assail,attack in speech or writing,transitive verb,https://lex-audio.useremarkable.com/mp3/assail_us_1.mp3,the Scots army assailed Edward's army from the rear,0,attack,assault,make an assault on
assuage,"provide physical relief, as from pain",transitive verb,https://lex-audio.useremarkable.com/mp3/assuage_us_1.mp3,the letter assuaged the fears of most members,0,relieve,ease,alleviate
banish,"send away from a place of residence, as for punishment",transitive verb,https://lex-audio.useremarkable.com/mp3/banish_us_1.mp3,they were banished to Siberia for political crimes,0,exile,expel,deport
benign,kind in disposition or manner,adjective,https://lex-audio.useremarkable.com/mp3/benign_us_1.mp3,his benign but firm manner,0,kindly,kind,warm-hearted
buck,resist,verb,https://lex-audio.useremarkable.com/mp3/buck_us_1.mp3,he's got to get his head down to buck,0,defy,contradict,oppose
conducive,tending to bring about; being partly responsible for,adjective,https://lex-audio.useremarkable.com/mp3/xconducive_us_1.mp3,the harsh lights and cameras were hardly conducive to a relaxed atmosphere,0,good for,helpful to,instrumental in
contemptuous,expressing extreme scorn,adjective,https://lex-audio.useremarkable.com/mp3/xcontemptuous_us_1.mp3,she was intolerant and contemptuous of the majority of the human race,0,scornful,disdainful,disrespectful
credence,the mental attitude that something is believable,noun,https://lex-audio.useremarkable.com/mp3/credence_us_1.mp3,psychoanalysis finds little credence among laymen,0,acceptance,belief,faith
debase,lower in value by increasing the base-metal content,transitive verb,https://lex-audio.useremarkable.com/mp3/debase_us_1.mp3,the love episodes debase the dignity of the drama,0,degrade,devalue,demean
derisive,expressing contempt or ridicule,adjective,https://lex-audio.useremarkable.com/mp3/derisive_us_1.mp3,"a harsh, derisive laugh",0,mocking,ridiculing,jeering
detrimental,causing harm or injury,adjective,https://lex-audio.useremarkable.com/mp3/detrimental_us_1.mp3,moving her could have a detrimental effect on her health,0,harmful,damaging,injurious
