Word,Meaning,Type,Audio,Sentence,Syn1,Syn2,Syn3,
aesthete,one who professes great sensitivity to the beauty of art,noun,https://lex-audio.useremarkable.com/mp3/aesthete_us_1.mp3,"The face of his grandson, by contrast, is that of a bud-lipped aesthete.",0,esthete,effete,connoisseur
apathetic,marked by a lack of interest,adjective,https://lex-audio.useremarkable.com/mp3/apathetic_us_1.mp3,apathetic slackers who don't vote,0,callous,indifferent,laid-back
banal,repeated too often; overfamiliar through overuse,adjective,https://lex-audio.useremarkable.com/mp3/banal_us_1.mp3,"songs with banal, repeated words",0,bland,corny,dumb
bucolic,idyllically rustic,noun,https://lex-audio.useremarkable.com/mp3/bucolic_us_1.mp3,"The result is a complex mix of ancient Greek bucolics (pastoral poetry), the natural history of northern Italy, and the harsh realities of contemporary Roman politics.",0,agrarian,pastoral,arcadian
chortle,laugh quietly or with restraint,intransitive verb,https://lex-audio.useremarkable.com/mp3/chortle_us_1.mp3,he chortled at his own pun,0,cackle,chuckle,giggle
concede,give over,verb,https://lex-audio.useremarkable.com/mp3/xconcede_us_1.mp3,I had to concede that I'd overreacted,0,accept,admit,allow
conspicuous,obvious to the eye or mind,adjective,https://lex-audio.useremarkable.com/mp3/xconspicuous_us_1.mp3,"he was very thin, with a conspicuous Adam's apple",0,apparent,discernible,distinct
cryptic,having a secret or hidden meaning,adjective,https://lex-audio.useremarkable.com/mp3/cryptic_us_1.mp3,he found his boss's utterances too cryptic,0,ambiguous,arcane,enigmatic
culminate,"end, especially to reach a final or climactic stage",intransitive verb,https://lex-audio.useremarkable.com/mp3/culminate_us_1.mp3,the tensions and disorders which culminated in World War II,0,cap,climax,conclude
culpability,a state of guilt,noun,https://lex-audio.useremarkable.com/mp3/culpability_us_1.mp3,a level of moral culpability,0,accountability,guilt,blameworthiness
decorous,characterized by propriety and dignity and good taste,adjective,https://lex-audio.useremarkable.com/mp3/decorous_us_1.mp3,dancing with decorous space between partners,0,civilized,polite,sedate
deferential,showing courteous regard for people's feelings,adjective,https://lex-audio.useremarkable.com/mp3/deferential_us_1.mp3,people were always deferential to him,0,civil,courteous,obedient
dictatorial,characteristic of an absolute ruler or absolute rule,adjective,https://lex-audio.useremarkable.com/mp3/dictatorial_us_1.mp3,a dictatorial regime,0,absolute,arbitrary,arrogant
diffident,showing modest reserve,adjective,https://lex-audio.useremarkable.com/mp3/diffident_us_1.mp3,a diffident youth,0,bashful,demure,meek
engender,call forth,transitive verb,https://lex-audio.useremarkable.com/mp3/engender_us_1.mp3,the issue engendered continuing controversy,0,arouse,beget,breed
entrenched,dug in,adjective,https://lex-audio.useremarkable.com/mp3/entrenched_us_1.mp3,an entrenched resistance to change,0,rooted,firm,fixed
