Word,Meaning,Type,Audio,Sentence,,,,
abstain,"refrain from doing, consuming, or partaking in something",intransitive verb,https://lex-audio.useremarkable.com/mp3/abstain_us_1.mp3,abstaining from chocolate,0,forgo,withhold,refrain
ameliorate,make better,transitive verb,https://lex-audio.useremarkable.com/mp3/ameliorate_us_1.mp3,the reform did much to ameliorate living standards,0,boost,better,enhance
apathy,an absence of emotion or enthusiasm,noun,https://lex-audio.useremarkable.com/mp3/apathy_us_1.mp3,widespread apathy among students,0,indifference,lack of interest,lack of enthusiasm
ascetic,practicing great self-denial,noun,https://lex-audio.useremarkable.com/mp3/ascetic_us_2.mp3,"The composition of hymns of the Rig-Veda was done by Hindu recluses, ascetics, Rishis and Sages rooted in the realities of life inside the society.",0,abstainer,recluse,hermit
avaricious,immoderately desirous of acquiring something,adjective,https://lex-audio.useremarkable.com/mp3/avaricious_us_1.mp3,a corrupt and avaricious government,0,grasping,acquisitive,covetous
belligerent,characteristic of an enemy or one eager to fight,noun,https://lex-audio.useremarkable.com/mp3/belligerent_us_1.mp3,ships and goods captured at sea by a belligerent,0,militarist,hawk,jingoist
circumvent,"avoid or try to avoid fulfilling, answering, or performing",transitive verb,https://lex-audio.useremarkable.com/mp3/circumvent_us_1.mp3,if you come to an obstruction in a road you can seek to circumvent it,0,avoid,get round,find a way round
contrive,make or work out a plan for; devise,transitive verb,https://lex-audio.useremarkable.com/mp3/xcontrive_us_1.mp3,his opponents contrived a crisis,0,bring about,engineer,cause to happen
delineate,represented accurately or precisely,transitive verb,https://lex-audio.useremarkable.com/mp3/delineate_us_1.mp3,the law should delineate and prohibit behavior that is socially abhorrent,0,describe,set forth,set out
derivative,not original; secondary,noun,https://lex-audio.useremarkable.com/mp3/derivative_us_1.mp3,a derivative of the system was chosen for the Marine Corps’ V-22 tilt rotor aircraft,0,by-product,spin-off,offshoot
derive,come from,transitive verb,https://lex-audio.useremarkable.com/mp3/derive_us_1.mp3,they derived great comfort from this assurance,0,obtain,get,take
disaffected,discontented as toward authority,adjective,https://lex-audio.useremarkable.com/mp3/disaffected_us_2.mp3,a military plot by disaffected elements in the army,0,dissatisfied,disgruntled,discontented
